Internal Estimate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Client:,,,,,,
CLIENT:,,,,,,
,,,,,,
Project:,,,,,,
SEO Foundations,,,,,,
,,,,,,
Date Estimated:,,,,,,
DATE,,,,,,
,,,,,,
,,,,,,
Service,Description,Team,Hours,Rate,Markup,Total
SEO Foundations,"Includes local keyword research, Google Business Profile (GBP) optimization, monthly GBP posts, grid tracking for local rankings, core SEO updates to key website pages, ongoing profile maintenance, and clear monthly reporting.",High Altitude,,599,2,1198
Account Management,"Your Account Manager will coordinate this project with you from start to finish. Their time will include emails, phone calls, and meetings to discuss project details and progress.",Alli,3,100,,300
Monthly Total,,,,,,1498
,,,,,,
Notes:,,,,,,
