I,Unnamed: 1,Unnamed: 2,II,Unnamed: 4,Unnamed: 5,III,Unnamed: 7
"Ideal for startups or small businesses that need a clean, professional logo and foundational visual identity to get to market quickly.",,,Ideal for established small-to-midsize businesses ready to elevate their brand with more strategic exploration and refined creative development.,,,"Ideal for growing businesses that require a robust, scalable brand identity system with expanded creative exploration and versatility across platforms.",
,,,,,,,
Project Kickoff,650.0,,Project Kickoff,650.0,,Project Kickoff,1000.0
Internal Project Kickoff (30 minutes),,,Internal Project Kickoff (30 minutes),,,Internal Project Kickoff (30 minutes),
Client Kickoff Call (30 minutes),,,Client Kickoff Call (30 minutes),,,Client Kickoff Call (1 hour),
Research & Inspiration,,,Research & Inspiration,,,Research & Inspiration,
Inspiration Presentation Call (30 minutes),,,Inspiration Presentation Call (30 minutes),,,Inspiration Presentation Call (1 hour),
,,,,,,,
Brand Design,4100.0,,Brand Design,7500.0,,Brand Design,10600.0
Exploration,,,Exploration,,,Exploration,
Logo Sketches (up to 5 hours),,,Logo Sketches (up to 10 hours),,,Logo Sketches (up to 15 hours),
Visual Direction Presentation (30 minutes),,,Visual Direction Presentation (30 minutes),,,Visual Direction Presentation (1 hour),
,,,,,,,
Brand Design,,,Brand Design,,,Brand Design,
2 logo concepts (16 hours),,,2 logo concepts to choose (30 hours),,,3 logo concepts to choose (45 hours),
Brand Design Presentation (30 minutes),,,Brand Design Presentation (1 hour),,,Brand Design Presentation (1 hour),
,,,,,,,
Revisions,,,Revisions,,,Revisions,
Up to 5 hours of revisions on the selected concept,,,Up to 8 hours of revisions on the selected concept,,,Up to 8 hours of revisions on the selected concept,
,,,,,,,
Final Deliverables,600.0,,Final Deliverables,600.0,,Final Deliverables,900.0
Primary logo in multiple formats:,,,Primary logo in multiple formats:,,,Primary and secondary logos in multiple formats and orientations:,
"PNG, JPG, SVG, EPS",,,"PNG, JPG, SVG, EPS",,,"PNG, JPG, SVG, EPS",
,,,,,,,
Social Media Icons,,,Social Media Icons,,,Social Media Icons,
,,,,,,,
Font Files,,,Font Files,,,Font Files,
,,,,,,,
Account & Production Management,700.0,,Account & Production Management,1400.0,,Account & Production Management,1900.0
Account Service,,,Account Service,,,Account Service,
Production Management,,,Production Management,,,Production Management,
,,,,,,,
Base Starting Price,6050.0,,Base Starting Price,10150.0,,Base Starting Price,14400.0
See Add-Ons for more options.,,,See Add-Ons for more options.,,,See Add-Ons for more options.,
,,,,,,,
Tier 1 Work Examples,,,Tier 2 Work Examples,,,Tier 3 Work Examples,
